Customer Country,Customer State,Customer City,Customer Street,Latitude,Longitude
EE. UU.,MT,Billings,3176 Round Gate,45.78831101,-108.5594101
Puerto Rico,PR,Caguas,1426 Fallen Line,18.26163292,-66.03705597
EE. UU.,PA,Wilkes Barre,9814 Emerald Prairie Limits,41.23545456,-75.86985779
Puerto Rico,PR,Caguas,8271 Tawny Elk Abbey,18.27022362,-66.0370636
EE. UU.,MI,Roseville,3931 Gentle Ramp,41.86886215,-84.57365418
EE. UU.,CA,Bellflower,9699 Honey Rise,33.90942383,-118.1253586
Puerto Rico,PR,Caguas,1564 Rocky Terrace,18.27526093,-66.0370636
EE. UU.,IL,Wheaton,4294 High Passage,41.86544037,-88.10990143
Puerto Rico,PR,Caguas,5918 Golden Beacon Freeway,18.28713608,-66.03705597
EE. UU.,MI,Detroit,3915 Broad Lookout,42.39110184,-83.13121796
EE. UU.,TX,Dallas,7190 Silver Horse Glade,32.86539459,-96.86858368
Puerto Rico,PR,Caguas,830 Broad Beacon Maze,18.24074173,-66.03705597
EE. UU.,PA,Carlisle,6127 Dewy Goose Downs,40.03171921,-76.87709808
EE. UU.,TX,Dallas,1188 Old Abbey,32.81010819,-96.68649292
Puerto Rico,PR,Caguas,7004 Hazy Lake Townline,18.28604889,-66.03705597
EE. UU.,DE,Newark,2556 Umber Autoroute,39.68188095,-75.64421082
EE. UU.,CA,Panorama City,3722 Thunder Cape,34.15893936,-118.1809387
Puerto Rico,PR,Caguas,2676 Velvet Common,18.28294563,-66.0370636
EE. UU.,GA,Atlanta,833 Amber Anchor Glen,33.81632614,-84.44550324
Puerto Rico,PR,Caguas,830 Quaking Bear Grounds,18.24103928,-66.0370636
EE. UU.,CA,Fremont,1509 Middle Oak Isle,37.49027634,-121.9271088
Puerto Rico,PR,Caguas,9712 Fallen Robin Diversion,18.26469612,-66.03705597
EE. UU.,NY,Rochester,8665 Sunny Deer Woods,43.18824005,-77.56706238
EE. UU.,TX,Dallas,9879 Harvest Deer Farms,32.753685,-96.86553955
Puerto Rico,PR,Bayamon,75 Sunny Grounds,18.38011932,-66.18312836
Puerto Rico,PR,Caguas,9731 Honey Fox Towers,18.23557282,-66.3706131
Puerto Rico,PR,Caguas,7573 Golden Treasure Centre,18.02536774,-66.61303711
Puerto Rico,PR,Caguas,8369 Sunny Crossing,18.27383804,-66.37063599
Puerto Rico,PR,Caguas,1425 Fallen Fox Arbor,18.2848053,-66.37059021
Puerto Rico,PR,Caguas,2290 Crystal Pathway,18.29496765,-66.37050629
Puerto Rico,PR,Caguas,6179 Noble Panda Moor,18.25571251,-66.37050629
Puerto Rico,PR,Caguas,8205 Silver Grove Row,18.23466301,-66.37059784
Puerto Rico,PR,Caguas,7786 Middle Private,18.26268196,-66.37049866
Puerto Rico,PR,Caguas,4294 High Passage,18.28279495,-66.37055969
Puerto Rico,PR,Caguas,5274 Easy Beach,18.27466202,-66.37058258
Puerto Rico,PR,Caguas,4692 Jagged Thicket,18.2689991,-66.37049866
Puerto Rico,PR,Caguas,5161 Crystal Quail Jetty,18.2308178,-66.37052155
Puerto Rico,PR,Caguas,1465 Round Fawn Passage,18.26138115,-66.37056732
Puerto Rico,PR,Caguas,5723 Cinder Loop,18.23650742,-66.37051392
Puerto Rico,PR,Caguas,2991 Silent Deer Landing,18.35921478,-66.07779694
Puerto Rico,PR,Caguas,5086 Emerald Fox Farms,18.29944229,-66.37052155
Puerto Rico,PR,Caguas,3909 Hidden Treasure Beach,18.28996849,-66.37054443
Puerto Rico,PR,Caguas,4691 Cinder Crest,18.2275734,-66.04563141
Puerto Rico,PR,Caguas,5703 Tawny Creek Townline,18.2988205,-66.37059784
Puerto Rico,PR,Caguas,7333 Cinder Way,18.02538109,-66.61508179
Puerto Rico,PR,Caguas,9404 Heather Bluff Dale,18.25048637,-66.37062836
Puerto Rico,PR,Caguas,1632 Green Fawn Corners,18.24069786,-66.37055969
Puerto Rico,PR,Caguas,8344 Noble Mountain Gate,18.21209908,-66.37050629
Puerto Rico,PR,Caguas,7208 Bright Landing,18.23131371,-66.37062836
Puerto Rico,PR,Caguas,1393 Umber Sky Estates,18.29652023,-66.04867554
Puerto Rico,PR,Caguas,8165 Red Lane,18.28746414,-66.37054443
Puerto Rico,PR,Caguas,331 Grand Orchard,18.29108048,-66.37050629
Puerto Rico,PR,Caguas,2264 Thunder Abbey,18.24984551,-66.37050629
Puerto Rico,PR,Caguas,9082 Merry Lookout,18.25671768,-66.37062836
Puerto Rico,PR,Caguas,6468 Fallen Close,18.24754334,-66.0253067
Puerto Rico,PR,Caguas,7342 Hidden Walk,18.27673721,-66.37055206
Puerto Rico,PR,Caguas,577 Rustic Nectar Row,18.2968483,-66.37050629
Puerto Rico,PR,Caguas,5700 Little Circle,18.29609299,-66.37050629
Puerto Rico,PR,Caguas,7840 Umber Sky Villas,18.2105732,-66.37058258
Puerto Rico,PR,Caguas,7509 Iron Concession,18.20111656,-66.37059021
Puerto Rico,PR,Caguas,2199 Silver Autumn Key,18.21469116,-66.37051392
Puerto Rico,PR,Caguas,9470 Shady View Bend,18.28425598,-66.37058258
Puerto Rico,PR,Caguas,9366 Silent Nectar Highway,18.20666885,-66.37056732
Puerto Rico,PR,Caguas,4167 Stony Extension,18.35907555,-66.07783508
Puerto Rico,PR,Caguas,7370 Sleepy Way,18.26378822,-66.37052918
Puerto Rico,PR,Caguas,1613 Broad Beach,18.20330429,-66.37052155
Puerto Rico,PR,Caguas,4992 Jagged Forest Subdivision,18.22487068,-66.37052155
Puerto Rico,PR,Caguas,3216 Red Glade,18.25061035,-66.37062836
Puerto Rico,PR,Caguas,3481 Crystal Campus,18.27340317,-66.37052155
Puerto Rico,PR,Caguas,5424 Rustic Anchor Boulevard,18.29137993,-66.3705368
Puerto Rico,PR,Caguas,3567 Heather Knoll,18.24738884,-66.37057495
Puerto Rico,PR,Caguas,7958 Thunder Apple Street,18.27920532,-66.37055206
Puerto Rico,PR,Guayama,6496 Harvest Highlands,17.98249054,-66.1126709
Puerto Rico,PR,Caguas,1453 Lazy Cider Hill,18.24496079,-66.3705368
Puerto Rico,PR,Caguas,8713 Quaking Abbey,18.28453636,-66.37060547
Puerto Rico,PR,Caguas,1285 Noble Pointe,18.28339195,-66.37051392
Puerto Rico,PR,Caguas,6314 Honey Canyon,18.22172546,-66.37059021
Puerto Rico,PR,Caguas,1388 Blue Turnabout,18.25333214,-66.37051392
Puerto Rico,PR,Caguas,1122 Old Fox Lookout,18.22976875,-66.37052918
Puerto Rico,PR,Caguas,257 Iron Elk Maze,18.22978401,-66.37054443
Puerto Rico,PR,Caguas,9544 Noble Spring Route,18.22758102,-66.04357147
Puerto Rico,PR,Caguas,7094 Misty Wynd,18.22297287,-66.37059021
Puerto Rico,PR,Caguas,1025 Colonial Plaza,18.24120712,-66.37050629
Puerto Rico,PR,Juana Diaz,2839 Grand Timber Canyon,18.05199051,-66.50184631
Puerto Rico,PR,Caguas,6174 Wishing Front,18.20664215,-66.37052918
Puerto Rico,PR,Caguas,9447 Dusty Gate Centre,18.27825165,-66.37059784
Puerto Rico,PR,Caguas,6401 Shady Embers Farms,18.22776032,-66.37059021
Puerto Rico,PR,Caguas,595 Indian Path,18.2362442,-66.37062073
Puerto Rico,PR,Caguas,1820 Noble Elk Harbour,18.21949196,-66.37052918
Puerto Rico,PR,Caguas,1577 Green Vista,18.25289154,-66.37058258
Puerto Rico,PR,Caguas,9920 Little Lane,18.22985077,-66.37062073
Puerto Rico,PR,Caguas,3089 Gentle Horse Chase,18.22190094,-66.37052155
Puerto Rico,PR,Caguas,4090 Colonial End,18.26019096,-66.37052918
Puerto Rico,PR,Caguas,4601 Amber Grove Hollow,18.28128624,-66.37050629
Puerto Rico,PR,Caguas,2127 Middle Goose Mews,18.21101761,-66.37052918
Puerto Rico,PR,Caguas,8840 Harvest Towers,18.22019768,-66.37058258
Puerto Rico,PR,Caguas,8617 Cinder Mountain Forest,18.25534058,-66.37050629
Puerto Rico,PR,Caguas,5087 Crystal Hills Manor,18.23215866,-66.37059021
Puerto Rico,PR,Caguas,1548 Lazy Place,18.20737648,-66.37055206
Puerto Rico,PR,Caguas,9009 Merry Nectar Heights,18.27331543,-66.37060547
Puerto Rico,PR,Caguas,4316 Misty Way,18.2626648,-66.3706131
Puerto Rico,PR,Caguas,6324 Lazy Lane,18.26016426,-66.37059021
Puerto Rico,PR,Caguas,9198 Rocky Run,18.24535179,-66.37059784
Puerto Rico,PR,Caguas,5736 Heather Byway,18.21775055,-66.37060547
Puerto Rico,PR,Caguas,7334 Umber Expressway,18.29214859,-66.3706131
Puerto Rico,PR,Caguas,427 Grand Branch Hill,18.26737404,-66.37062836
Puerto Rico,PR,Caguas,2035 Lazy Diversion,18.29659462,-66.37059021
Puerto Rico,PR,Caguas,4520 Grand Port,18.27468491,-66.37056732
Puerto Rico,PR,Caguas,7489 Green End,18.21944618,-66.37057495
Puerto Rico,PR,Caguas,620 Thunder Creek Towers,18.23975563,-66.37059021
Puerto Rico,PR,Caguas,555 Lazy Robin Freeway,18.2643261,-66.37060547
Puerto Rico,PR,Caguas,4722 Round Embers Falls,18.27085495,-66.03705597
Puerto Rico,PR,Caguas,1836 Cozy View Orchard,18.23665237,-66.0370636
Puerto Rico,PR,Caguas,5257 Umber Field,18.28206062,-66.03705597
Puerto Rico,PR,Caguas,9079 Dewy Deer Harbour,18.21524239,-66.03705597
Puerto Rico,PR,Caguas,1284 High Apple Highlands,18.25598526,-66.03705597
Puerto Rico,PR,Caguas,9816 Grand Hills Knoll,18.28172112,-66.03705597
Puerto Rico,PR,Caguas,5301 Blue Street,18.23458481,-66.03705597
Puerto Rico,PR,Caguas,7274 Middle Wynd,18.25249672,-66.03704834
Puerto Rico,PR,Caguas,2668 Velvet Row,18.25508499,-66.03705597
Puerto Rico,PR,Caguas,567 Fallen Pines,18.28042221,-66.0370636
Puerto Rico,PR,Caguas,9870 Little Hickory Loop,18.23288918,-66.0370636
Puerto Rico,PR,Caguas,5763 Green Crossing,18.22864342,-66.0370636
Puerto Rico,PR,Caguas,4854 Tawny Cove,18.29532433,-66.03705597
Puerto Rico,PR,Caguas,8297 Golden Green,18.24217796,-66.0370636
Puerto Rico,PR,Caguas,7293 Lazy Hill,18.25569725,-66.0370636
Puerto Rico,PR,Caguas,8967 Sleepy Lane,18.26639938,-66.0370636
Puerto Rico,PR,Caguas,6370 Emerald Row,18.23524284,-66.03705597
Puerto Rico,PR,Caguas,3065 Foggy Horse Port,18.25786781,-66.03705597
Puerto Rico,PR,Caguas,5493 Burning Horse Heath,18.23107529,-66.03705597
Puerto Rico,PR,Caguas,529 Blue Grove Rise,18.26862907,-66.03705597
Puerto Rico,PR,Caguas,4462 Little Lagoon Route,18.22708893,-66.0370636
Puerto Rico,PR,Caguas,9854 Jagged Impasse,18.23437882,-66.03705597
Puerto Rico,PR,Caguas,5336 Sleepy Sky Common,18.29236603,-66.0370636
Puerto Rico,PR,Caguas,3836 Blue Brook Stead,18.21356773,-66.0370636
Puerto Rico,PR,Caguas,4896 Honey Wood,18.2920475,-66.0370636
Puerto Rico,PR,Caguas,4592 Grand Timber Ramp,18.24609184,-66.0370636
Puerto Rico,PR,Caguas,146 Middle Terrace,18.20939446,-66.03705597
Puerto Rico,PR,Caguas,3710 Little Nook,18.29184341,-66.03704834
Puerto Rico,PR,Caguas,9598 Cinder Close,18.2275734,-66.0437088
Puerto Rico,PR,Caguas,6998 Old Treasure Crossing,18.28542137,-66.37056732
Puerto Rico,PR,Caguas,100 Jagged Cloud Pathway,18.24692345,-66.37057495
Puerto Rico,PR,Caguas,8110 Old Place,18.23379898,-66.37056732
Puerto Rico,PR,Caguas,9221 Cotton Butterfly Terrace,18.23220825,-66.37062836
Puerto Rico,PR,Caguas,4110 Quaking Abbey,18.26521111,-66.37055206
Puerto Rico,PR,Caguas,6574 Shady Horse Wood,18.28570366,-66.37050629
Puerto Rico,PR,Caguas,4555 Amber Apple Cape,18.2968502,-66.37062836
EE. UU.,NY,Freeport,3675 Emerald Goose Bank,40.65486527,-73.58707428
EE. UU.,MD,Fort Washington,9375 Harvest Circuit,38.74266434,-76.9917984
EE. UU.,CA,Bakersfield,3993 Thunder Hills Port,35.36254501,-119.0186996
EE. UU.,NY,Corona,9414 Thunder Island Court,40.74210739,-73.86962128
EE. UU.,OH,Cincinnati,7573 Cozy Goose Road,39.28849411,-84.3551178
EE. UU.,MD,Germantown,5985 Silent Leaf Vale,39.1836586,-77.26545715
EE. UU.,TX,Carrollton,1230 Crystal Lookout,32.96593094,-96.84902191
EE. UU.,TX,Houston,6350 Lost Hollow,29.83435631,-95.33792877
EE. UU.,PA,Carlisle,4898 Red Butterfly Autoroute,40.2372818,-76.96795654
EE. UU.,CA,Los Angeles,7312 Crystal Willow Villas,34.20339966,-118.6059036
EE. UU.,HI,Ewa Beach,9595 Blue Promenade,21.31185532,-158.0046844
EE. UU.,NJ,Lakewood,1790 Noble Brook Run,40.09635925,-74.21524048
EE. UU.,NY,Rome,2459 Round Spring Towers,43.21662521,-75.45603943
EE. UU.,CA,Vista,690 Colonial Pine Passage,33.21121979,-117.2510605
EE. UU.,TX,Fort Worth,739 Jagged Goose Street,32.8013916,-97.3302536
EE. UU.,WI,Fond Du Lac,29 Gentle Spring Mews,43.78569031,-88.47438049
EE. UU.,PA,Philadelphia,5532 Tawny Pines,39.79661942,-75.47006989
EE. UU.,CA,Ontario,4502 Hazy Run,34.07656479,-117.61409
EE. UU.,FL,Oviedo,6026 Stony Elk Hill,28.62217712,-81.20755768
EE. UU.,NY,Buffalo,4903 Lazy Parkway,42.9666214,-78.74194336
EE. UU.,HI,Honolulu,3902 Foggy Swale,21.30562019,-157.8386993
EE. UU.,CA,Oceanside,990 Dewy Crest,33.18587494,-117.3658524
EE. UU.,NY,North Tonawanda,9899 Hazy Falls,43.02910233,-78.87342072
EE. UU.,CA,Clovis,7449 Merry Chase,36.82690048,-119.6776962
EE. UU.,NY,Jamaica,7694 Velvet Turnabout,40.70170975,-73.80841827
EE. UU.,IL,Granite City,1585 Stony Rabbit Hollow,38.69002152,-90.14477539
EE. UU.,MA,Medford,2289 Cozy Promenade,42.41968918,-71.10621643
EE. UU.,CA,Pomona,830 Clear Sky Vale,34.04991913,-117.7161026
EE. UU.,AZ,Tempe,2833 Clear Valley,33.41519928,-111.9199905
EE. UU.,CA,Santa Ana,4682 Cozy Freeway,33.74279404,-117.8847504
EE. UU.,PA,York,4196 Noble Beacon Mews,39.9602356,-76.67675781
EE. UU.,CO,Aurora,231 Bright Alley,39.74543381,-104.8753815
EE. UU.,CA,Simi Valley,3926 Stony Gardens,34.27391052,-118.7662125
EE. UU.,MD,Silver Spring,3632 Fallen Pioneer Isle,39.04636002,-76.98272705
EE. UU.,MN,Saint Paul,1070 Dusty Beacon Maze,44.72552109,-93.20613098
EE. UU.,TX,San Antonio,469 Crystal Anchor Mountain,29.45598984,-98.52809143
EE. UU.,PA,Philadelphia,3601 Cozy Creek Trail,39.95672989,-75.19525909
EE. UU.,PA,Philadelphia,7007 Quiet Via,40.03775024,-75.06806183
EE. UU.,NY,Bronx,2515 Burning Boulevard,40.86353684,-73.87049866
EE. UU.,NC,Greenville,2127 Cozy Deer Bank,35.60034943,-77.33486939
EE. UU.,NJ,Morristown,3593 Easy Embers Field,40.80119324,-74.48561096
EE. UU.,CA,San Diego,9900 Hidden Rise Downs,32.77627945,-117.1342163
EE. UU.,CA,Oxnard,1055 Crystal Woods,34.19039154,-119.177803
EE. UU.,FL,Miami,5365 Tawny Apple Limits,25.82507515,-80.19588471
EE. UU.,NM,Albuquerque,4845 Thunder Embers Hollow,35.13143921,-106.5452042
EE. UU.,TX,Amarillo,5154 Honey Bend,35.18754196,-101.8676224
EE. UU.,FL,Lutz,6715 Gentle Horse Row,28.08681297,-82.43898773
EE. UU.,OR,Bend,6412 Crystal View Townline,44.07210541,-12.13232708
EE. UU.,NJ,East Brunswick,263 Harvest Wood,40.41255188,-74.41832733
EE. UU.,SC,Lancaster,7111 Cotton Blossom Estates,34.85777283,-80.84423828
EE. UU.,CA,Ontario,3005 Bright Maze,34.06832504,-117.6557541
EE. UU.,TX,Houston,5657 Lost Expressway,29.7805748,-95.17199707
EE. UU.,VA,Hampton,183 Velvet Grove Towers,37.05174255,-76.40163422
EE. UU.,NY,New York,2275 Rustic Impasse,40.74559021,-73.97927856
EE. UU.,CA,Porterville,8279 Bright Fox Highway,35.93829727,-118.9438477
EE. UU.,OR,Portland,2792 Middle Mount,45.59825897,-12.27242851
EE. UU.,OH,Strongsville,6414 Jagged Sky Gardens,41.3469696,-81.82631683
EE. UU.,TX,El Paso,4849 Clear Blossom Turnabout,31.65174103,-106.2676239
EE. UU.,TX,Del Rio,8248 Clear Glade,29.77310181,-100.6121979
EE. UU.,NY,Buffalo,4606 Umber Range,42.9666214,-78.74194336
EE. UU.,UT,Bountiful,2058 Quaking Oak Common,40.86649323,-111.8493271
EE. UU.,WA,Kent,5131 Gentle Limits,47.39371109,-122.2228317
EE. UU.,IL,Chicago,9595 Iron Orchard,41.74866486,-87.66320038
EE. UU.,MA,Plymouth,6797 Quiet Mountain Rise,41.95851135,-70.66861725
EE. UU.,NY,Far Rockaway,340 Velvet Barn Gate,40.59949493,-73.76248169
EE. UU.,TX,Houston,569 Hazy Wynd,29.66958237,-95.24147034
EE. UU.,PA,Philadelphia,5768 Jagged Zephyr Port,40.01562119,-75.08410645
EE. UU.,CA,Simi Valley,1021 Silver Log Cape,34.27391052,-118.7662125
EE. UU.,MI,Detroit,2002 Noble Crescent,42.39807892,-83.20157623
EE. UU.,CA,Garden Grove,7262 Emerald Boulevard,33.77366638,-118.0033035
EE. UU.,CA,San Diego,9176 Shady Barn Jetty,32.74953461,-117.1046524
EE. UU.,IL,Chicago,3670 Broad Mountain Link,41.89551926,-87.71821594
EE. UU.,CA,Placentia,7126 Hazy Berry Mount,33.99459839,-117.9534302
EE. UU.,CA,San Jose,4845 Thunder Embers Hollow,37.32554245,-121.7993469
EE. UU.,HI,Honolulu,1134 Misty River Woods,21.30562019,-157.8386993
EE. UU.,OH,Mentor,5808 Silver Rise Circuit,41.71363831,-81.36167908
EE. UU.,CA,Santa Clara,3180 Golden Cider Circle,37.34306717,-121.9839325
EE. UU.,NJ,Union,5593 Indian Trail,33.68896103,-117.9957428
EE. UU.,CA,Long Beach,1987 Grand Alley,33.79319763,-118.1895294
EE. UU.,CA,Westminster,4463 Cotton Quail Forest,33.75820923,-118.0019073
EE. UU.,FL,Pompano Beach,5875 Grand Campus,26.21472931,-80.23004913
EE. UU.,CA,Azusa,1010 Rustic Fox View,34.13932037,-117.9074402
EE. UU.,FL,Fort Lauderdale,1430 Easy Spring Key,26.0984993,-80.27095032
EE. UU.,TX,San Antonio,3050 Crystal Fawn Green,29.46007919,-98.52754211
EE. UU.,NJ,Princeton,3139 Golden Autumn Byway,40.35742188,-74.64842224
EE. UU.,NJ,Perth Amboy,3356 Crystal Farm,40.50980377,-74.26966858
EE. UU.,FL,Miami,8473 Crystal Hickory Path,25.93001556,-80.16291046
EE. UU.,OH,Loveland,874 Thunder Front,39.27056122,-84.27059174
EE. UU.,VA,Virginia Beach,9627 Little Terrace,36.91083145,-76.12958527
EE. UU.,KY,Louisville,9295 Emerald Downs,38.15983963,-85.59026337
EE. UU.,NY,Lockport,8400 Clear Wagon  Row,43.16891098,-78.69216156
EE. UU.,IL,Chicago,5420 Crystal Hill,41.89491653,-87.76180267
EE. UU.,NY,Staten Island,4047 Grand Port,40.58441544,-74.15991974
EE. UU.,AZ,Tucson,6575 Quiet Loop,32.27982712,-110.9582291
EE. UU.,MA,Plymouth,4317 Emerald Bay,41.92736816,-70.7484436
EE. UU.,OH,Cleveland,5325 Amber Blossom Way,41.47653961,-81.72341919
EE. UU.,NY,Bronx,3065 Foggy Horse Port,40.87030411,-73.87062073
EE. UU.,NY,Webster,3867 Middle Leaf By-pass,42.42012024,-79.31320953
EE. UU.,CA,Stockton,6332 Round Range,37.92684937,-121.3893051
EE. UU.,TX,Amarillo,6826 Quiet Lane,35.18754196,-101.8676224
EE. UU.,WV,Martinsburg,3882 Golden Maze,39.45571137,-77.96917725
EE. UU.,MD,Cumberland,1102 Misty Rabbit Alley,39.6300354,-78.74319458
EE. UU.,IL,Pekin,8581 Blue Crescent,40.56959915,-89.64508057
EE. UU.,FL,Tallahassee,2749 Emerald Glen,30.49767876,-84.23183441
EE. UU.,FL,Jacksonville,7320 Wishing Rise Mall,30.35342217,-81.51309204
EE. UU.,RI,Woonsocket,3087 Hazy Glen,42.00220108,-71.51410675
EE. UU.,CA,Stockton,125 Easy Lake Close,38.1355629,-121.2693405
EE. UU.,GA,Lithonia,4263 Cozy Embers Ledge,33.71007919,-84.11247253
EE. UU.,IL,Oak Lawn,9725 Cotton Forest,41.7158165,-87.7405777
EE. UU.,MI,Detroit,1915 Thunder Hickory Freeway,42.39391327,-83.00836945
EE. UU.,CA,Alhambra,1098 Fallen By-pass,34.10591126,-118.1196442
EE. UU.,CT,New Haven,8271 Foggy Horse Inlet,42.34568787,-83.52059174
EE. UU.,NY,North Tonawanda,3046 Broad Sky Dale,43.02910233,-78.87342072
EE. UU.,AZ,Phoenix,1200 Silent Bend,33.58987427,-112.1163712
EE. UU.,LA,Kenner,8768 Shady Arbor,30.0380249,-90.25691986
EE. UU.,PA,Washington,3361 Little Ledge,40.33852005,-80.1289444
EE. UU.,MI,Holland,2088 Emerald Downs,29.50280953,-98.5945282
EE. UU.,PA,Morrisville,5263 Middle Road,40.20738983,-74.79347992
EE. UU.,TN,Memphis,7111 Cotton Blossom Estates,35.21362686,-89.82608032
EE. UU.,WA,Federal Way,9419 Cinder Hickory Towers,47.30304337,-122.3528137
EE. UU.,CA,San Diego,4212 Cozy Corners,32.69542313,-117.0990067
EE. UU.,IL,Chicago,3614 Misty Mall,42.0063591,-87.66739655
EE. UU.,CA,Los Angeles,8706 Harvest Green,34.12594605,-118.2910156
EE. UU.,NY,Bronx,3193 Gentle Circuit,40.87142944,-73.87063599
EE. UU.,CA,Long Beach,7358 Rocky Villas,33.56687927,-117.7633209
EE. UU.,IL,Chicago,112 Green Fawn Estates,41.88238525,-88.20149994
EE. UU.,CA,West Covina,7094 Round Carrefour,34.06787491,-117.9273758
EE. UU.,CA,Ventura,3367 Easy Pines,34.24124908,-119.1945419
EE. UU.,DC,Washington,4776 Crystal River Stead,38.91826248,-77.03946686
EE. UU.,FL,Valrico,7312 Umber Prairie Wynd,27.96565437,-82.25280762
EE. UU.,HI,Kaneohe,1221 Cinder Pines,21.41555023,-157.803894
EE. UU.,CA,Ventura,8824 Noble View Valley,34.26494217,-119.218605
EE. UU.,NY,Brooklyn,2720 Stony Field,40.64059448,-73.97518921
EE. UU.,CA,Oceanside,698 Colonial Way,33.22548676,-117.3070679
EE. UU.,TX,Fort Worth,7409 Cotton Manor,32.73230743,-97.47290802
EE. UU.,NY,Brooklyn,5731 Cinder Horse Court,40.64059448,-73.97518921
EE. UU.,OH,Cleveland,72 Noble Path,41.48426819,-81.5922699
EE. UU.,PA,Philadelphia,923 Amber Grounds,39.92448425,-75.1757431
EE. UU.,CA,Lodi,3901 Iron Parade,38.11602402,-121.3637238
EE. UU.,CA,Bakersfield,4915 Lazy Pine Bay,35.40139771,-119.0448837
EE. UU.,PA,Philadelphia,654 Gentle Acres,39.94662857,-75.21822357
EE. UU.,CA,Long Beach,7581 Cinder Link,33.78245163,-118.1922455
EE. UU.,CA,San Jose,6001 Iron Diversion,37.3288765,-121.8501511
EE. UU.,TN,Murfreesboro,9198 Blue Swale,35.75965881,-86.26461029
EE. UU.,CA,Carlsbad,3358 Middle Ridge,33.0895195,-117.2552032
EE. UU.,OH,Hamilton,9785 Silver Hickory Walk,39.3985405,-84.55661774
EE. UU.,TX,Houston,9391 Little Leaf Ramp,29.69653702,-95.6459198
EE. UU.,NY,New York,3810 Honey Swale,40.82476044,-73.94992065
EE. UU.,CA,Hayward,5166 Middle Circuit,37.67551041,-122.0496826
EE. UU.,NJ,Bridgeton,2269 High Limits,39.42603684,-75.23985291
EE. UU.,WV,Martinsburg,6901 Lazy Plaza,39.45571137,-77.96917725
EE. UU.,NY,Bay Shore,67 Cotton Mountain Terrace,40.74032211,-73.30113983
EE. UU.,IL,Palatine,4291 Sunny Fox Mews,42.11048508,-88.08236694
EE. UU.,GA,Smyrna,7790 Green Berry Gate,33.08282852,-82.9998703
EE. UU.,CA,Van Nuys,9922 Misty Oak Inlet,34.1971817,-118.4865265
EE. UU.,FL,Opa Locka,9128 Little Cloud Bay,25.94878006,-80.28707886
EE. UU.,CA,Los Angeles,1819 Noble Ramp,34.09960938,-118.3507385
EE. UU.,MN,Saint Paul,9539 Velvet Trace,44.95698166,-93.06536865
EE. UU.,NJ,Edison,125 Colonial Butterfly Stead,40.52578354,-74.39421845
EE. UU.,TX,Baytown,9084 Middle Embers Passage,29.73701477,-94.96875763
EE. UU.,CA,Sylmar,1994 Lost Berry Promenade,34.31019974,-118.4530792
EE. UU.,OR,Bend,7676 Colonial Towers,44.05973816,-12.13093758
EE. UU.,FL,Opa Locka,2422 High River Corners,25.89801979,-80.24020386
EE. UU.,MN,Burnsville,398 Pleasant Mountain,44.77007294,-93.28409576
EE. UU.,NY,Huntington Station,2070 Indian Leaf Edge,40.85692978,-73.39674377
Puerto Rico,PR,Caguas,9135 Green Island Moor,18.29136658,-66.03705597
EE. UU.,CA,Sunnyvale,1800 Quiet Creek Stead,37.34466934,-122.0356674
EE. UU.,TX,Sugar Land,1165 Quiet Inlet,29.60960579,-95.61593628
Puerto Rico,PR,Caguas,432 Rocky Link,18.26264191,-66.03705597
