Customer Id,Customer Fname,Customer Lname,Customer Email,Customer Password,Customer Segment,Customer Zipcode
19451,Adele,Pennington,XXXXXXXXX,XXXXXXXXX,Home Office,30318.0
19450,Sybill,Spencer,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
19449,Kay,Sandoval,XXXXXXXXX,XXXXXXXXX,Consumer,94539.0
19448,stacy,mckinney,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19447,Marah,Lara,XXXXXXXXX,XXXXXXXXX,Corporate,14609.0
19446,Taylor,Wood,XXXXXXXXX,XXXXXXXXX,Corporate,75211.0
9083,mary,frank,XXXXXXXXX,XXXXXXXXX,Home Office,957.0
4741,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
639,Elizabeth,Pittman,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
9702,Katherine,Tyler,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
9114,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
1362,dennis,smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
8011,Mary,Hill,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
3296,mary,smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
3182,Frances,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
7864,Alice,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
11169,kyle,thomas,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
5197,Brenda,Jordan,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
1535,frank,livingston,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
6122,Johnny,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
9451,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
542,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
11329,Hannah,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
3570,Mary,Nelson,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
650,austin,sexton,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
9353,michael,scott,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
54,Mary,Olson,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
12151,Vincent,Krueger,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
10018,Gregory,Rodriguez,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
4936,kyle,smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
8707,Lisa,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
1025,Megan,Todd,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
8831,mary,smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
10679,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
5007,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
9854,mary,smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
376,grace,sanchez,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
5417,Dennis,Meyer,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
10759,Douglas,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
8541,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
3752,mary,vega,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
4673,Wayne,Hodges,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
5367,Mary,Mccormick,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
10485,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
9272,ronald,blackwell,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
647,Mary,Rios,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
6398,Tammy,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
4209,mary,lara,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
8917,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
7784,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
1425,Christina,Harvey,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
2737,mary,smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
6428,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
6543,Alexander,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
3990,Sandra,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,784.0
8524,ruth,farrell,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
9204,Mary,Harris,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
11761,Lauren,Coleman,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
9554,Mary,Hayes,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
5118,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
5506,Gregory,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
1423,Mary,Day,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
138,mary,dawson,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
6360,mary,phillips,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
2053,Ronald,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
10344,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,795.0
3375,mary,sanchez,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
1339,Melissa,Mack,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
7247,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
1273,Maria,Evans,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
6277,eugene,smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
7701,James,Lawson,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
4126,John,Stokes,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
9528,Mary,Flores,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
1853,Mary,Austin,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
11149,roy,smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
5828,katherine,oconnell,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
6887,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
4781,janet,smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
10668,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
5421,mary,carlson,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
10200,Nicole,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
11254,Sharon,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
11106,mary,navarro,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
8456,mary,smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
6149,Matthew,Bush,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
1473,Anthony,Young,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
1840,Jerry,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
6757,Mary,Freeman,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
3972,Laura,Bennett,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
9316,megan,sanders,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
11213,Mary,Black,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
3474,Jack,Hatfield,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14630,Kirestin,Barr,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13256,nora,downs,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14665,Jennifer,Stokes,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13363,madonna,ingram,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14645,Noelani,Hyde,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13163,Sydnee,Nolan,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14553,willa,potter,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14287,Alma,Delgado,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13179,ila,knight,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13035,Belle,Booker,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14322,alyssa,contreras,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13196,Lani,Nash,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14604,Demetria,Jarvis,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
12961,joan,nixon,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14676,Gay,Harper,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14087,Audrey,Acosta,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13194,riley,jones,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14513,imani,kelly,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13461,mechelle,parker,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14510,imani,castaneda,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13190,whitney,henderson,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14508,roanna,martin,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14472,Vivian,Hays,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14562,Xantha,Brock,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13206,zia,davis,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13080,Mara,Duffy,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
14633,sloane,long,XXXXXXXXX,XXXXXXXXX, consumer ,725.0
14097,winifred,alexander,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
13024,giselle,farrell,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
778,John,Buckley,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
7146,nancy,curry,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
6365,mary,smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
8422,Wayne,Crawford,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
3784,Mary,Sharp,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
10519,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
7132,David,Guerra,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
3709,Mary,Padilla,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
1509,patricia,petersen,XXXXXXXXX,XXXXXXXXX,Consumer,11520.0
1636,Julie,Petersen,XXXXXXXXX,XXXXXXXXX,Consumer,20744.0
2784,lisa,smith,XXXXXXXXX,XXXXXXXXX,Consumer,93304.0
9174,Tyler,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,11368.0
122,Karen,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,45238.0
3800,Shawn,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,20874.0
10029,mary,silva,XXXXXXXXX,XXXXXXXXX,Consumer,75006.0
2805,willie,smith,XXXXXXXXX,XXXXXXXXX,Consumer,77093.0
12253,Mary,Chan,XXXXXXXXX,XXXXXXXXX,Consumer,17013.0
3528,Nicole,Brooks,XXXXXXXXX,XXXXXXXXX,Consumer,90023.0
11018,Bruce,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,96706.0
3222,Mary,Williams,XXXXXXXXX,XXXXXXXXX,Consumer,8701.0
6246,Melissa,Ramirez,XXXXXXXXX,XXXXXXXXX,Consumer,13440.0
8741,Gregory,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,92083.0
8050,elizabeth,smith,XXXXXXXXX,XXXXXXXXX,Consumer,76106.0
5474,mary,sanchez,XXXXXXXXX,XXXXXXXXX,Consumer,54935.0
474,Mary,Patton,XXXXXXXXX,XXXXXXXXX,Consumer,19139.0
12255,mary,davis,XXXXXXXXX,XXXXXXXXX, consumer ,91764.0
10288,mark,smith,XXXXXXXXX,XXXXXXXXX, consumer ,32765.0
4717,mary,sanders,XXXXXXXXX,XXXXXXXXX,Consumer,14221.0
4799,paul,jensen,XXXXXXXXX,XXXXXXXXX,Consumer,96822.0
4533,walter,chavez,XXXXXXXXX,XXXXXXXXX,Consumer,92056.0
12383,Joyce,Phillips,XXXXXXXXX,XXXXXXXXX,Consumer,14120.0
3518,daniel,smith,XXXXXXXXX,XXXXXXXXX,Consumer,93611.0
4674,Mary,Lynn,XXXXXXXXX,XXXXXXXXX,Consumer,11434.0
8519,pamela,michael,XXXXXXXXX,XXXXXXXXX, consumer ,62040.0
5302,betty,smith,XXXXXXXXX,XXXXXXXXX,Consumer,2155.0
3594,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,91766.0
9890,Christian,Luna,XXXXXXXXX,XXXXXXXXX,Consumer,85281.0
1410,mary,smith,XXXXXXXXX,XXXXXXXXX,Consumer,92703.0
7521,mary,ortega,XXXXXXXXX,XXXXXXXXX, consumer ,17402.0
2106,mary,grimes,XXXXXXXXX,XXXXXXXXX,Consumer,80010.0
8144,mary,summers,XXXXXXXXX,XXXXXXXXX,Consumer,93065.0
5643,Tiffany,Caldwell,XXXXXXXXX,XXXXXXXXX,Consumer,20904.0
2041,paul,garcia,XXXXXXXXX,XXXXXXXXX, consumer ,55124.0
7537,stephen,lee,XXXXXXXXX,XXXXXXXXX,Consumer,78201.0
3056,George,Middleton,XXXXXXXXX,XXXXXXXXX,Consumer,19143.0
7967,samuel,jones,XXXXXXXXX,XXXXXXXXX,Consumer,19149.0
1758,Larry,King,XXXXXXXXX,XXXXXXXXX,Consumer,10466.0
7884,peter,smith,XXXXXXXXX,XXXXXXXXX,Corporate,27858.0
289,diana,richards,XXXXXXXXX,XXXXXXXXX,Corporate,7960.0
10081,mary,castillo,XXXXXXXXX,XXXXXXXXX,Corporate,92115.0
1169,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,93030.0
1182,mary,smith,XXXXXXXXX,XXXXXXXXX,Corporate,33147.0
717,Mary,Camacho,XXXXXXXXX,XXXXXXXXX,Corporate,87111.0
20423,Ainsley,Leach,XXXXXXXXX,XXXXXXXXX,Corporate,79109.0
5801,Theresa,Pearson,XXXXXXXXX,XXXXXXXXX,Corporate,33549.0
702,Cynthia,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,97701.0
6951,mary,williams,XXXXXXXXX,XXXXXXXXX,Corporate,8816.0
6780,Sean,Chung,XXXXXXXXX,XXXXXXXXX,Corporate,29720.0
6422,Jonathan,Richmond,XXXXXXXXX,XXXXXXXXX,Corporate,91762.0
5384,christopher,smith,XXXXXXXXX,XXXXXXXXX,Corporate,77015.0
2985,Donald,Price,XXXXXXXXX,XXXXXXXXX,Corporate,23666.0
18349,Rana,Moreno,XXXXXXXXX,XXXXXXXXX,Corporate,10016.0
11286,mary,garcia,XXXXXXXXX,XXXXXXXXX,Corporate,93257.0
489,William,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,97223.0
4510,rachel,cochran,XXXXXXXXX,XXXXXXXXX,Corporate,44136.0
9626,dorothy,frye,XXXXXXXXX,XXXXXXXXX,Corporate,79927.0
9494,Robert,Gilmore,XXXXXXXXX,XXXXXXXXX,Corporate,78840.0
1718,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,14221.0
5295,mary,williams,XXXXXXXXX,XXXXXXXXX,Corporate,84010.0
3984,brenda,webster,XXXXXXXXX,XXXXXXXXX,Corporate,98031.0
5270,andrea,johnson,XXXXXXXXX,XXXXXXXXX,Corporate,60620.0
10966,martha,pierce,XXXXXXXXX,XXXXXXXXX,Corporate,2360.0
1868,mary,riddle,XXXXXXXXX,XXXXXXXXX,Corporate,11691.0
17446,freya,golden,XXXXXXXXX,XXXXXXXXX,Corporate,77088.0
10071,mary,lawrence,XXXXXXXXX,XXXXXXXXX,Corporate,19124.0
1271,Carolyn,Shea,XXXXXXXXX,XXXXXXXXX,Corporate,93065.0
11930,mary,gilbert,XXXXXXXXX,XXXXXXXXX,Corporate,48227.0
20529,Lynn,Sweeney,XXXXXXXXX,XXXXXXXXX,Corporate,92840.0
8358,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,92105.0
7705,Julia,Robinson,XXXXXXXXX,XXXXXXXXX,Corporate,60609.0
17392,patience,ward,XXXXXXXXX,XXXXXXXXX,Corporate,92870.0
18276,Cheryl,Koch,XXXXXXXXX,XXXXXXXXX,Corporate,95148.0
7795,Sandra,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,96822.0
20655,Whitney,Collins,XXXXXXXXX,XXXXXXXXX,Corporate,44060.0
2454,Kyle,Curtis,XXXXXXXXX,XXXXXXXXX,Corporate,95051.0
150,mary,smith,XXXXXXXXX,XXXXXXXXX,Corporate,7083.0
10671,Timothy,Moses,XXXXXXXXX,XXXXXXXXX,Corporate,90805.0
11924,Mary,Ramos,XXXXXXXXX,XXXXXXXXX,Corporate,92683.0
16086,Aimee,Terrell,XXXXXXXXX,XXXXXXXXX,Corporate,33068.0
4398,mary,yoder,XXXXXXXXX,XXXXXXXXX,Consumer,91702.0
5687,Mary,Chapman,XXXXXXXXX,XXXXXXXXX,Consumer,33324.0
8534,Mary,Rose,XXXXXXXXX,XXXXXXXXX,Consumer,78201.0
3372,virginia,smith,XXXXXXXXX,XXXXXXXXX,Consumer,8540.0
10927,Jessica,Lang,XXXXXXXXX,XXXXXXXXX,Consumer,8861.0
3597,margaret,smith,XXXXXXXXX,XXXXXXXXX,Consumer,33162.0
2052,Mary,Anthony,XXXXXXXXX,XXXXXXXXX,Consumer,45140.0
4399,Richard,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,23455.0
185,Deborah,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,40214.0
3441,emma,russell,XXXXXXXXX,XXXXXXXXX,Consumer,14094.0
11947,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,60608.0
1555,Adam,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,10314.0
9399,Mary,Bennett,XXXXXXXXX,XXXXXXXXX,Consumer,85719.0
2792,Roy,Carey,XXXXXXXXX,XXXXXXXXX,Consumer,2360.0
10118,Mary,Reynolds,XXXXXXXXX,XXXXXXXXX,Consumer,44120.0
8544,Sarah,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,10458.0
4296,edward,sanchez,XXXXXXXXX,XXXXXXXXX,Consumer,14580.0
4391,Harry,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,95207.0
2882,mary,decker,XXXXXXXXX,XXXXXXXXX,Consumer,79109.0
3283,charles,ramos,XXXXXXXXX,XXXXXXXXX,Consumer,25401.0
397,Mary,Delgado,XXXXXXXXX,XXXXXXXXX,Consumer,21502.0
4104,Debra,Butler,XXXXXXXXX,XXXXXXXXX,Consumer,61554.0
12214,Jennifer,Summers,XXXXXXXXX,XXXXXXXXX,Consumer,32308.0
10699,mary,lee,XXXXXXXXX,XXXXXXXXX,Consumer,32225.0
2091,doris,smith,XXXXXXXXX,XXXXXXXXX,Consumer,2895.0
10474,Benjamin,Case,XXXXXXXXX,XXXXXXXXX,Consumer,95206.0
7504,Stephanie,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,30058.0
7518,Mary,Padilla,XXXXXXXXX,XXXXXXXXX,Consumer,60453.0
1738,nicholas,murray,XXXXXXXXX,XXXXXXXXX,Consumer,48213.0
1622,mary,smith,XXXXXXXXX,XXXXXXXXX,Consumer,91801.0
1325,Gregory,Nelson,XXXXXXXXX,XXXXXXXXX,Consumer,6511.0
5505,Joseph,Matthews,XXXXXXXXX,XXXXXXXXX,Consumer,14120.0
4210,Matthew,Roach,XXXXXXXXX,XXXXXXXXX,Consumer,85029.0
11229,Diane,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,70065.0
9385,andrew,whitehead,XXXXXXXXX,XXXXXXXXX,Consumer,15301.0
900,George,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,49423.0
6217,Roger,Black,XXXXXXXXX,XXXXXXXXX,Consumer,19067.0
9466,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,38128.0
4596,Mary,Burns,XXXXXXXXX,XXXXXXXXX,Consumer,98023.0
5206,Mary,Palmer,XXXXXXXXX,XXXXXXXXX,Consumer,92113.0
2823,Danielle,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,60626.0
10408,sandra,smith,XXXXXXXXX,XXXXXXXXX,Consumer,90027.0
11011,Mary,Mullins,XXXXXXXXX,XXXXXXXXX,Consumer,10457.0
40,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer,90805.0
11636,patrick,browning,XXXXXXXXX,XXXXXXXXX,Consumer,60637.0
7454,andrew,kim,XXXXXXXXX,XXXXXXXXX,Corporate,91790.0
5138,William,Rivera,XXXXXXXXX,XXXXXXXXX,Corporate,93003.0
8696,Mary,Pope,XXXXXXXXX,XXXXXXXXX,Corporate,20009.0
2329,mary,smith,XXXXXXXXX,XXXXXXXXX,Corporate,33594.0
12431,mary,rios,XXXXXXXXX,XXXXXXXXX,Corporate,96744.0
10860,Mary,Johnson,XXXXXXXXX,XXXXXXXXX,Corporate,93003.0
12094,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,11218.0
5088,mary,smith,XXXXXXXXX,XXXXXXXXX,Corporate,92057.0
2200,Evelyn,Wilson,XXXXXXXXX,XXXXXXXXX,Corporate,76116.0
3997,margaret,walker,XXXXXXXXX,XXXXXXXXX,Corporate,11218.0
8746,Charles,Stout,XXXXXXXXX,XXXXXXXXX,Corporate,44120.0
3687,Mary,Morrow,XXXXXXXXX,XXXXXXXXX,Corporate,19145.0
9162,christina,carter,XXXXXXXXX,XXXXXXXXX,Corporate,95240.0
8993,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,93308.0
5875,Mary,Rodgers,XXXXXXXXX,XXXXXXXXX,Corporate,19143.0
2502,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,90813.0
9563,pamela,murphy,XXXXXXXXX,XXXXXXXXX,Corporate,95122.0
7259,Jerry,Ingram,XXXXXXXXX,XXXXXXXXX,Corporate,37130.0
3131,Mary,Brown,XXXXXXXXX,XXXXXXXXX,Corporate,92009.0
4140,brandon,smith,XXXXXXXXX,XXXXXXXXX,Corporate,45011.0
4539,Jacqueline,James,XXXXXXXXX,XXXXXXXXX,Corporate,77083.0
6071,Mary,Wu,XXXXXXXXX,XXXXXXXXX,Corporate,10031.0
8730,mary,smith,XXXXXXXXX,XXXXXXXXX,Corporate,94541.0
9634,Mary,Weaver,XXXXXXXXX,XXXXXXXXX,Corporate,8302.0
8010,Kathy,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,25401.0
3484,Rebecca,Hunter,XXXXXXXXX,XXXXXXXXX,Corporate,11706.0
7307,brandon,foster,XXXXXXXXX,XXXXXXXXX,Corporate,60067.0
1975,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,30080.0
629,Matthew,Huffman,XXXXXXXXX,XXXXXXXXX,Corporate,91406.0
11753,Richard,Reid,XXXXXXXXX,XXXXXXXXX,Corporate,33055.0
5375,jeremy,holmes,XXXXXXXXX,XXXXXXXXX,Corporate,90046.0
1695,amanda,marquez,XXXXXXXXX,XXXXXXXXX,Corporate,55106.0
9884,Maria,Dorsey,XXXXXXXXX,XXXXXXXXX,Corporate,8817.0
8498,joseph,pennington,XXXXXXXXX,XXXXXXXXX,Corporate,77520.0
7534,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Corporate,91342.0
123,Mary,Mann,XXXXXXXXX,XXXXXXXXX,Corporate,97701.0
8925,Mary,Erickson,XXXXXXXXX,XXXXXXXXX,Corporate,33055.0
5981,Ronald,Williamson,XXXXXXXXX,XXXXXXXXX,Corporate,55337.0
7347,carolyn,gallegos,XXXXXXXXX,XXXXXXXXX,Corporate,11746.0
19445,Felicia,Clark,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19444,wanda,sanford,XXXXXXXXX,XXXXXXXXX,Corporate,94087.0
19443,Hayfa,Boyle,XXXXXXXXX,XXXXXXXXX,Corporate,77478.0
19442,lavinia,houston,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
